,dataset_id,dataset_title,format,resource_id,resource_title,url
36,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,b2518ec1-6529-47bc-9d55-40e2effeb0e7,caracteristiques_2012.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees/20150806-154431/caracteristiques_2012.csv
37,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,48683290-0d4d-429a-8fb6-977887098d5d,vehicules_2012.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees/20150806-154148/vehicules_2012.csv
38,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,a19e060e-1c18-4272-ac4e-d4745ab8fade,usagers_2012.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees/20150806-154306/usagers_2012.csv
39,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,59cc1244-2397-430a-8afb-6a0a071ff4d2,lieux_2012.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees/20150806-154334/lieux_2012.csv
40,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,37991267-8a15-4a9d-9b1c-ff3e6bea3625,caracteristiques_2011.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees/20150806-154723/caracteristiques_2011.csv
41,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,bd946492-31b3-428e-8494-a1e203bdc9cc,usagers_2011.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees/20150806-154656/usagers_2011.csv
42,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,569e3f44-ff4c-4a25-bb45-f4a3646b392d,vehicules_2011.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees/20150806-154842/vehicules_2011.csv
43,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,26d37f6b-3603-42b0-a779-bbeaa19af4a6,lieux_2011.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees/20150806-154632/lieux_2011.csv
44,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,decdfe8c-38ff-4a06-b7fc-615785f2914d,caracteristiques_2010.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees/20150806-155035/caracteristiques_2010.csv
45,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,86577e9c-56ab-4673-95cb-3351e804fc03,lieux_2010.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees/20150806-154939/lieux_2010.csv
